file,"hgnc hits","on wp_all","on wp_hs","new wp_all","new wp_hs","new hits to wp_all","new hits only to wp_hs"
PMC100003__mb2410470011.txt,5,5,2,0,3,,GAQ|ETK|FAK
PMC104410__mb0691964008.txt,4,3,0,1,3,S6K1,PI3K|PKB|4E-BP1
PMC1064894__ar1469-3.txt,11,7,5,4,2,R|MY|TRAK|TRF3,L|B
PMC1083689__kvd01401.txt,1,0,0,1,0,CELL,
PMC1087802__zek0030524280002.txt,1,1,0,0,1,,S
PMC1088314__pp1371205f01.txt,3,1,1,2,0,CN|J,
PMC1091709__zjv0100562260008.txt,0,0,0,0,0,,
PMC1091762__tpc1701387f08.txt,4,4,3,0,1,,S
PMC1112039__zjb0110547680001.txt,0,0,0,0,0,,
PMC1129099__zpq0190582160004.txt,0,0,0,0,0,,
PMC1140591__zmb0120550900007.txt,0,0,0,0,0,,
PMC1142215__ijbsv01p0080g02.txt,6,4,2,2,2,OIF|R,SCAR|ACT
PMC1142443__zmk0060571890005.txt,4,4,1,0,3,,RNR1|L|RNR
PMC1143566__bcr1021-4.txt,6,4,0,2,4,CA|R,PKC|B|L|DAAM1
PMC1143566__bcr1021-5.txt,2,1,1,1,0,CELL,
PMC1143751__zjv0130564460006.txt,2,1,0,1,1,CELL,B
PMC1150820__zpq0210583550005.txt,3,2,1,1,1,E,L
PMC115962__ii0591289005.txt,6,3,0,3,3,CELL|HHH|GAMMA,H|P|OF
PMC1172275__zpq0270587990006.txt,12,11,6,1,5,JNK,IKK|IK|B|S|C-JUN
PMC1174965__ar1741-4.txt,8,7,1,1,6,JNK,TH1|TAK1|P38|ERK|OF|INOS
PMC117989__pp0916802012.txt,3,0,0,3,0,E|J|PAL,
PMC118015__ek0320088006.txt,2,1,1,1,0,J,
PMC1180390__AJHGv73p1240fg5.txt,0,0,0,0,0,,
PMC1183194__1471-2407-5-74-4.txt,0,0,0,0,0,,
PMC1183194__1471-2407-5-74-5.txt,2,1,0,1,1,E,S
PMC1183194__1471-2407-5-74-6.txt,4,2,1,2,1,EL|E,Y
PMC1196350__zmk0090573040009.txt,7,4,0,3,4,E|LIGHT|CA,RAS-GRF2|RAF-1|ERK|OF
PMC1201250__zii0080550480007.txt,17,11,4,6,7,OR|R|J|SOC|JNK|NF-KB,IN|OF|L|LPS|TRAF6|NIK|IKK
PMC1201572__zpq0340592800005.txt,2,1,1,1,0,NG,
PMC120796__mr0320019001.txt,4,2,2,2,0,PACE|PAL,
PMC120796__mr0320019004.txt,0,0,0,0,0,,
PMC1208922__1477-3163-4-16-1.txt,5,2,1,3,1,LI|J|II,ER
PMC1237076__zmk0100573350007.txt,0,0,0,0,0,,
PMC124530__pq0920169005.txt,2,2,1,0,1,,IN
PMC1251585__zjb0190551050006.txt,1,1,0,0,1,,S
PMC1253564__zpq0410597730008.txt,4,3,0,1,3,CELL,RN|P38|S1
PMC125566__cde434f7.txt,3,3,0,0,3,,L|B|Y
PMC1257398__2435fig9.txt,3,2,0,1,2,R,L|LN
PMC126171__cdf433f5.txt,10,6,1,4,5,DAN|R|J|E,B|P21|L|P16|RB
PMC127927__ii0521395006.txt,8,4,3,4,1,E|R|J|U,TLN
PMC1287678__zam0110560540009.txt,11,10,4,1,6,NF-KB,TRAF6|Y|MUC|IKK|P65|P50
PMC1289420__zmk0120574260007.txt,2,2,0,0,2,,H|PI
PMC1291380__1478-811X-3-12-5.txt,4,3,2,1,1,WNT-4,SA
PMC1303061__biophysj19414f09.txt,4,3,0,1,3,R,B|L|HL
PMC1304358__biophysj00029884F01_4C.txt,5,2,0,3,2,J|SFA|E,Y|L
PMC1304358__biophysj00029884F03_4C.txt,6,4,1,2,3,LNP|UL,NET|B|P
PMC1304358__biophysj00029884F06_LW.txt,0,0,0,0,0,,
PMC1305894__i1536-7509-4-4-323-f04.txt,3,2,0,1,2,R,P|B
PMC130620__pq2023557005.txt,4,3,1,1,2,J,P|L
PMC1317640__zmb0010656280009.txt,1,1,0,0,1,,L
PMC133668__mb0720973009.txt,7,7,3,0,4,,LPA|PI3K|PKB|PKC
PMC133918__mb1321825003.txt,23,11,2,12,9,ECI|FA|CN|II|SN|L2|T2|U|OR|CRIPTO|LP|J,B|ST2|FAST1|S|L|VL|CI|CT|H
PMC1345641__zmk0010674710011.txt,0,0,0,0,0,,
PMC1347046__zmb0030656850009.txt,1,1,0,0,1,,Z
PMC1347434__gkj071f2.txt,7,4,1,3,3,E|R|LMO,IN|DAO|BK
PMC1350949__nihms5852f7.txt,5,5,3,0,2,,P53|BAK
PMC1351030__nihms2404f8.txt,3,1,1,2,0,J|D1,
PMC135552__00-0458f9.txt,4,3,1,1,2,E,OF|GA
PMC1356091__pcbi.0020003.g003.txt,3,3,1,0,2,,P|OT
PMC1356334__7600893f7.txt,4,3,1,1,2,E,B|TRKA
PMC1356384__19FF8.txt,3,3,2,0,1,,AIF
PMC135641__mb1820558010.txt,9,6,1,3,5,JNK|HIC|E,B|IN|OF|S|FRE
PMC135652__mb2120116008.txt,2,0,0,2,0,CELL|FATE,
PMC1356553__tpc1800477f10.txt,0,0,0,0,0,,
PMC1356578__zmk0020674940010.txt,6,4,2,2,2,CAC1|ACA1,X|PKR1
PMC1360222__nihms7040f9.txt,2,2,1,0,1,,OF
PMC136456__jv1820687007.txt,5,2,1,3,1,E|XS|CELL,S
PMC1367180__zmb0040657430002.txt,11,9,2,2,7,JNK|U,B|MKK4|TAK1|MEKK4|P|C-JUN|CI
PMC137067__1475-4924-1-7-1.txt,1,1,0,0,1,,B
PMC137069__1475-4924-1-9-1.txt,10,8,2,2,6,J|IV,HIP1|GAS1|FU|L|DYRK1|B
PMC1375233__nek010f5.txt,8,7,4,1,3,R,IKK|IK|B
PMC137942__bcr543-1.txt,9,6,2,3,4,R|ST|TDL,PR|STAT5|B|S
PMC1383554__7600973f10.txt,7,5,0,2,5,R|TUBE,VEGF|VEGFR|MKK6|P38|HSP27
PMC1386115__JCI0627883.f3.txt,11,8,2,3,6,J|TNFR|MCP-3,AN|ER|B|INOS|SE|CO
PMC1386711__1471-2105-7-41-4.txt,3,3,1,0,2,,PA|L
PMC139432__bcr42-1.txt,0,0,0,0,0,,
PMC139542__01-0008f10.txt,3,2,0,1,2,R,FR|OF
PMC139760__99-0353f8.txt,4,1,0,3,1,LIGHT|NPH3|R,PH
PMC140053__cdg009f9.txt,5,4,0,1,4,NF-KB,PKC|PKD|P|IKK
PMC1405901__zek0020626100006.txt,5,4,1,1,3,J,GA|Y|L
