file,"hgnc hits","on wp_all","on wp_hs","new wp_hs only","new wp_all","new hits only to wp_hs","new hits to wp_all"
PMC100003__mb2410470011.jpg.txt,0,0,0,0,0,,
PMC104410__mb0691964008.jpg.txt,1,1,0,1,0,S6,
PMC1064894__ar1469-3.jpg.txt,0,0,0,0,0,,
PMC1083689__kvd01401.jpg.txt,6,4,2,2,2,L|PI3K,MA|IV
PMC1087802__zek0030524280002.jpg.txt,4,3,0,3,1,S|B|MAM2,OR
PMC1088314__pp1371205f01.jpg.txt,1,1,0,1,0,UP,
PMC1091709__zjv0100562260008.jpg.txt,0,0,0,0,0,,
PMC1091762__tpc1701387f08.jpg.txt,3,2,1,1,1,S,CRI1
PMC1112039__zjb0110547680001.jpg.txt,0,0,0,0,0,,
PMC1129099__zpq0190582160004.jpg.txt,0,0,0,0,0,,
PMC1140591__zmb0120550900007.jpg.txt,2,2,0,2,0,ROS|VHL,
PMC1142215__ijbsv01p0080g02.jpg.txt,1,0,0,0,1,,CELL
PMC1142443__zmk0060571890005.jpg.txt,5,5,0,5,0,MEC1|P|RNR1|L|RNR,
PMC1143566__bcr1021-4.jpg.txt,1,1,0,1,0,Y,
PMC1143566__bcr1021-5.jpg.txt,1,1,1,0,0,,
PMC1143751__zjv0130564460006.jpg.txt,0,0,0,0,0,,
PMC1150820__zpq0210583550005.jpg.txt,2,1,0,1,1,OF,GM
PMC115962__ii0591289005.jpg.txt,2,1,0,1,1,GAP,GAMMA
PMC1172275__zpq0270587990006.jpg.txt,8,7,5,2,1,LT|RIP,CELL
PMC1174965__ar1741-4.jpg.txt,2,1,1,0,1,,TAK1L
PMC117989__pp0916802012.jpg.txt,6,4,1,3,2,HAL|MU|X,SN|OR
PMC118015__ek0320088006.jpg.txt,2,2,1,1,0,AKA,
PMC1180390__AJHGv73p1240fg5.jpg.txt,0,0,0,0,0,,
PMC1183194__1471-2407-5-74-4.jpg.txt,0,0,0,0,0,,
PMC1183194__1471-2407-5-74-5.jpg.txt,0,0,0,0,0,,
PMC1183194__1471-2407-5-74-6.jpg.txt,0,0,0,0,0,,
PMC1196350__zmk0090573040009.jpg.txt,7,4,2,2,3,RAF-1|Y,E|CA|EEK
PMC1201250__zii0080550480007.jpg.txt,0,0,0,0,0,,
PMC1201572__zpq0340592800005.jpg.txt,6,4,0,4,2,S|L|X|Z,EVL|J
PMC120796__mr0320019001.jpg.txt,8,6,1,5,2,PM|L|ON|PA|P,FACC|RNN
PMC120796__mr0320019004.jpg.txt,1,1,0,1,0,Y,
PMC1208922__1477-3163-4-16-1.jpg.txt,4,3,1,2,1,RN|MEK1,MS
PMC1237076__zmk0100573350007.jpg.txt,0,0,0,0,0,,
PMC124530__pq0920169005.jpg.txt,0,0,0,0,0,,
PMC1251585__zjb0190551050006.jpg.txt,0,0,0,0,0,,
PMC1253564__zpq0410597730008.jpg.txt,8,6,1,5,2,IN|CAN|KL|S|MU,U|NOV1
PMC125566__cde434f7.jpg.txt,2,0,0,0,2,,U|AU
PMC1257398__2435fig9.jpg.txt,7,4,1,3,3,MR|S|MOP,MGR|MS|ANA
PMC126171__cdf433f5.jpg.txt,2,1,0,1,1,PZ,U
PMC127927__ii0521395006.jpg.txt,7,4,0,4,3,Z|NU|CAM|S,E|U|CA2
PMC1287678__zam0110560540009.jpg.txt,7,7,2,5,0,IKK|P105|MUC|P65|P50,
PMC1289420__zmk0120574260007.jpg.txt,4,1,0,1,3,Y,G11|PATL|E
PMC1291380__1478-811X-3-12-5.jpg.txt,3,1,0,1,2,8B,WNT-4|J
PMC1303061__biophysj19414f09.jpg.txt,0,0,0,0,0,,
PMC1304358__biophysj00029884F01_4C.jpg.txt,0,0,0,0,0,,
PMC1304358__biophysj00029884F03_4C.jpg.txt,1,1,0,1,0,L,
PMC1304358__biophysj00029884F06_LW.jpg.txt,0,0,0,0,0,,
PMC1305894__i1536-7509-4-4-323-f04.jpg.txt,1,1,0,1,0,B,
PMC130620__pq2023557005.jpg.txt,0,0,0,0,0,,
PMC1317640__zmb0010656280009.jpg.txt,0,0,0,0,0,,
